CountryCode,ProvinceCode,ProvinceName,City,Lat,Lon
HR,HR,クロアチア,ザグレブ,45.8010756,15.9769434
KE,KE,ケニア,ナイロビ,-1.286585,36.821837
CI,CI,コートジボワール,ヤムスクロ,6.8368314,-5.2651817
CR,CR,コスタリカ,サンホセ,9.931413,-84.0947699
KS,KS,コソボ,プリシュティナ,42.6663849,21.1644271
KM,KM,コモロ,モロニ,-11.6759427,43.2621239
CO,CO,コロンビア,ボゴタ,4.5984614,-74.076467
CG,CG,コンゴ共和国,ブラザビル,-4.2789639,15.2783541
CD,CD,コンゴ民主共和国,キンシャサ,-4.3061828,15.3084537
SA,SA,サウジアラビア,リヤド,24.6725488,46.7372325
WS,WS,サモア,アピア,-13.8303712,-171.7668515
ST,ST,サントメ・プリンシペ,サントメ,0.3391213,6.7331863
ZM,ZM,ザンビア,ルサカ,-15.4209502,28.3010351
SM,SM,サンマリノ,サンマリノ,43.9367371,12.4465013
SL,SL,シエラレオネ,フリータウン,8.4904231,-13.2354989
DJ,DJ,ジブチ,ジブチ,11.594454,43.148222
JM,JM,ジャマイカ,キングストン,17.9669016,-76.7919497
GE,GE,ジョージア,トビリシ,41.7257221,44.775287
SY,SY,シリア,ダマスカス,33.5156746,36.2956763
SG,SG,シンガポール,シンガポール,1.3067039,103.8431002
ZW,ZW,ジンバブエ,ハラレ,-17.8319021,31.0461399
CH,CH,スイス,ベルン,46.9487624,7.4523275
SE,SE,スウェーデン,ストックホルム,59.3274506,18.0543456
SD,SD,スーダン,ハルツーム,15.6074317,32.5182284
ES,ES,スペイン,マドリード,40.4183806,-3.6918174
SR,SR,スリナム,パラマリボ,5.8267931,-55.1512507
LK,LK,スリランカ,スリジャヤワルダナプラコッテ,6.9076384,79.8949571
SK,SK,スロバキア,ブラチスラバ,48.1439306,17.1097025
SI,SI,スロベニア,リュブリャナ,46.0499639,14.5072339
SC,SC,セーシェル,ビクトリア,-4.6234329,55.4514333
GQ,GQ,赤道ギニア,マラボ,3.7554335,8.7831555
SN,SN,セネガル,ダカール,14.6721562,-17.4315476
